index,x,y
417,0.43500006146729,1.0250001426786177
418,0.43500006146729,0.9750001419335597
419,0.43500006146729,0.9250001411885016
420,0.43500006146729,0.8750001404434435
421,0.43500006146729,0.8250001396983855
422,0.43500006146729,0.7750001389533274
423,0.43500006146729,0.7250001382082694
424,0.43500006146729,0.6750001374632113
425,0.43500006146729,0.6250001367181532
426,0.43500006146729,0.5750001359730952
427,0.43500006146729,0.5250001352280371
428,0.43500006146729,0.47500013448297906
429,0.43500006146729,0.425000133737921
430,0.43500006146729,0.37500013299286294
431,0.43500006146729,0.3250001322478049
432,0.43500006146729,0.2750001315027468
433,0.43500006146729,0.22500013075768877
434,0.43500006146729,0.1750001300126307
435,0.43500006146729,0.12500012926757265
436,0.43500006146729,0.07500012852251459
437,0.43500006146729,0.025000127777456527
438,0.43500006146729,-0.024999872967601533
439,0.43500006146729,-0.07499987371265959
440,0.43500006146729,-0.12499987445771765
441,0.43500006146729,-0.1749998752027757
442,0.43500006146729,-0.22499987594783377
443,0.43500006146729,-0.27499987669289183
444,0.43500006146729,-0.3249998774379499
445,0.43500006146729,-0.37499987818300795
446,0.43500006146729,-0.424999878928066
447,0.43500006146729,-0.47499987967312407
448,0.43500006146729,-0.5249998804181821
449,0.43500006146729,-0.5749998811632402
450,0.43500006146729,-0.6249998819082982
451,0.43500006146729,-0.6749998826533563
452,0.43500006146729,-0.7249998833984144
453,0.43500006146729,-0.7749998841434724
454,0.43500006146729,-0.8249998848885305
455,0.43500006146729,-0.8749998856335885
456,0.43500006146729,-0.9249998863786466
457,0.43500006146729,-0.9749998871237047
458,0.43500006146729,-1.0249998878687627
459,0.43500006146729,-1.0749998886138208
460,0.43500006146729,-1.1249998893588788
461,0.43500006146729,-1.174999890103937
462,0.43500006146729,-1.224999890848995
463,0.48500006221234804,-1.274999891594053
464,0.5350000629574061,-1.324999892339111
465,0.5850000637024642,-1.3749998930841691
466,0.6350000644475222,-1.4249998938292272
