index,x,y,yaw_rad
130,-1.5649999683350324,0.8540944691587007,1.6428451585124106
131,-1.5717875897012288,0.9481400242819926,1.8474616903893994
132,-1.5979331039684657,1.0402187476407583,2.0000622631475715
133,-1.6394014282905467,1.1308137821744588,2.0980206383766573
134,-1.6915775713812653,1.220433565656538,2.149687053943813
135,-1.749846541954416,1.3095865358604397,2.1609980500605603
136,-1.8095933487237896,1.398781130559604,2.1335453742759256
137,-1.8662030004031807,1.488525787527476,2.0644260059284316
138,-1.9150605057063819,1.5793289445374983,1.9470240876952971
139,-1.9515508733471867,1.671699039363114,1.7931460337069935
140,-1.97291190419038,1.766180115694372,1.7535541242631556
141,-1.9908592488104495,1.863287228376464,1.7443398794735625
142,-2.0083086714847758,1.9628235856542104,1.7357739716403664
143,-2.025234817366785,2.0644876831001917,1.7277463996750415
144,-2.0416123316099073,2.16797801628699,1.7201636948570675
145,-2.0574158593675698,2.272993080787188,1.7129450885806252
146,-2.072620045793201,2.3792313721733658,1.70601951047132
147,-2.087199536040228,2.486391386018106,1.6993231775951096
148,-2.101128975262079,2.5941716178939918,1.692797599770788
149,-2.114383008612183,2.702270563373601,1.686387868331955
150,-2.126936281243967,2.810386718029518,1.6800411227838792
151,-2.13876343831086,2.918218577434323,1.6737051057074237
152,-2.149839124966289,3.0254646371605984,1.6673267232029516
153,-2.1601379863636825,3.131823392780926,1.6608505269987506
154,-2.169634667656468,3.2369933398678876,1.6542170247158785
155,-2.178303813998075,3.3406729739940646,1.6473607050013594
156,-2.1861200705419295,3.4425607907320384,1.6402076309073959
157,-2.1930580824414614,3.542355285654391,1.6326724020311654
158,-2.199092494850098,3.6397549543337044,1.6246542034621665
159,-2.204197952921267,3.73445829234256,1.6160315305298147
160,-2.2083491018083965,3.826163795253539,1.6066549736942959
161,-2.211520586664915,3.9145699586392233,1.596337117022747
162,-2.21368705264425,3.9993752780721943,1.5848380556954256
163,-2.21482314489983,4.080278249125035,1.5450511859305247
164,-2.2128226281196515,4.157965715748553,1.3145424843236984
165,-2.1914212984399066,4.239645736752502,1.114443827383256
166,-2.1495462729187307,4.324945845474682,0.9695413291297769
167,-2.090133083171404,4.411556419991144,0.8579125059149882
168,-2.016117260813214,4.497167838377928,0.7652784172921621
169,-1.9304343374594433,4.579470478711086,0.6821408599180634
170,-1.8360198447253746,4.656154719066663,0.6013480945834464
171,-1.7358093142262918,4.724910937520708,0.5163685960626493
172,-1.6327382775774784,4.783429512149267,0.4198066627137294
173,-1.5297422663942173,4.829400821028388,0.3016904952199156
174,-1.4297568122917925,4.860515242234118,0.14724643872219212
175,-1.3357174468854875,4.874463153842505,0.005884966088723002
176,-1.2444611851393974,4.875000200048088,0.0
177,-1.1448466708622935,4.875000200048088,0.0
178,-1.0392121585513692,4.875000200048088,0.0
179,-0.9304565219353768,4.875000200048088,0.0
180,-0.8214786347430686,4.875000200048088,0.0
181,-0.7151773707031969,4.875000200048088,0.0
182,-0.6144516035445136,4.875000200048088,0.0
183,-0.522200206995771,4.875000200048088,-0.013625194174284308
184,-0.44047220127256814,4.87388657118623,-0.2181630329548491
185,-0.3591552756247257,4.855859309267996,-0.42778176185896155
186,-0.2757085896050674,4.817812715673609,-0.5833473977198081
187,-0.19169749050201737,4.762368478854049,-0.7021222753639111
188,-0.10868732560399996,4.692148287260297,-0.797254837705138
189,-0.0282434421994395,4.609773829343332,-0.8778390187024976
190,0.048068812423239765,4.517866793554138,-0.9503388360049758
191,0.11868409097561346,4.419048868343695,-1.0198281028995047
192,0.1820370461692596,4.315941742162978,-1.0909579998201033
193,0.23656233071574911,4.211167103462977,-1.1688557644681754
194,0.28069459732666024,4.10734664069467,-1.2602282685731088
195,0.31286849871356864,4.007102042309038,-1.375029165847528
196,0.3315186875880501,3.9130549967570594,-1.5010224617322363
197,0.33761494421166305,3.8258251949350943,-1.5215780816251088
